DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY,Year
1/10/2017,Afghanistan,,,,,Islamic State,14,12,"11 people, including 5 diplomats from the United Arab Emirates, were killed in a bomb attack. ","33.7680065,66.2385139",Explosion,2017
1/8/2017,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,,17,4,At least 4 people were killed and 17 others were injured when a truck rammed into a group of Israeli soldiers. ,"31.7788242,35.2257626",,2017
1/7/2017,Syria,,,,,Islamic State,50,60,At least 60 people were killed and 50 others wounded in a car bomb attack at a marketplace in the rebel held northern town of Azaz. ,"34.6401861,39.0494106",Explosion,2017
1/6/2017,United States,Florida,Fort Lauderdale,Northern America,Americas,Esteban Santiago-Ruiz,0,5,"A mass shooting occurred at Fort Lauderdale Hollywood International Airport in Broward County, Florida, United States, on January 6, 2017, near the baggage claim in Terminal 2. Five people were killed while 6 others were injured in the shooting. About 36 people sustained injuries in the ensuing panic. ","26.1223084,-80.1433786",Assault,2017
1/5/2017,Turkey,,,Western Asia,Asia,Kurdistan Freedom Falcons,10,2,"A car bomb exploded outside a courthouse in Izmir, killing at least 2 people and triggering a deadly shootout. Two of the attackers were killed, while a third managed to escape. ","38.9597594,34.9249653",Explosion,2017
1/4/2017,Philippines,Bukidnon,Kidapawan,South-Eastern Asia,Asia,Bangsamoro Islamic Freedom Fighters,1,2,"Around 100 gunmen attacked the North Cotabato District Jail in Kidapawan in the Southern Philippines. A total of 158 inmates escaped, 14 of whom were quickly recaptured, while 5 others were killed. ","7.0095784,125.0905037",Assault,2017
1/2/2017,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al Shabaab,17,7,A suicide car bombing killed 7 people and injured 17 others at a checkpoint near Aden Adde International Airport in the Somali capital. ,"2.0349312,45.3419183",Explosion,2017
1/2/2017,Iraq,Baghdad Governorate,Baghdad,Western Asia,Asia,Islamic State,122,56,A series of car bombings in Sadr City and other parts of Baghdad killed at least 56 people and injured more than 120 others. ,"33.3024309,44.3787992",Explosion,2017
1/1/2017,Turkey,Istanbul Province,Istanbul,Western Asia,Asia,Islamic State,70,39,One gunman killed 39 individuals in the Reina Nightclub located in Istanbul during 2016 2017 New Year eve celebrations. ,"41.0091982,28.9662187",Assault,2017
12/31/2016,Iraq,Baghdad Governorate,Baghdad,Western Asia,Asia,Islamic State,50,25,Explosions left at least 25 people dead and 50 others were injured in Baghdad. ,"33.3024309,44.3787992",Explosion,2016
12/28/2016,Philippines,Batanes,Hilongos,South-Eastern Asia,Asia,Bangsamoro Islamic Freedom Fighters,33,0,Two bombs injured 33 people who were attending an amateur boxing match in the town of Hilongos. ,"10.3725124,124.7488064",Explosion,2016
12/23/2016,Malta,Luqa,,Southern Europe,Europe,Brigade 93,0,0,A commercial jet that took off from Libya was reportedly hijacked by individuals with explosives. The plane has landed in Malta. The hijackers were pro Gaddafi militants and belonged to the Brigade 93 militant group and demanded the recognition of their group. ,"35.859653,14.4892913",Explosion,2016
